,Provinsi,Harapan Lama Sekolah (2019),Harapan Lama Sekolah (2020),Harapan Lama Sekolah (2021),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang)(2019),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2020),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2021),Rata-rata Lama Sekolah (2019),Rata-rata Lama Sekolah (2020),Rata-rata Lama Sekolah (2021),Umur Harapan Hidup Saat Lahir (UHH) (2019),Umur Harapan Hidup Saat Lahir (UHH) (2020),Umur Harapan Hidup Saat Lahir (UHH) (2021),Indeks Pembangunan Manusia (2019),Indeks Pembangunan Manusia (2020),Indeks Pembangunan Manusia (2021),Peringkat Indeks Pembangunan Manusia (2019),Peringkat Indeks Pembangunan Manusia (2020),Peringkat Indeks Pembangunan Manusia (2021),Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2019) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2020) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2021) ,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2019),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2020),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2021),Indeks Perasaan (2021),Indeks Kepuasan Hidup (2021),Indeks Kebahagiaan (2021)
0,ACEH,14.3,14.31,14.36,9603,9492,9572,9.18,9.33,9.37,69.87,69.93,69.96,71.9,71.99,72.18,11,11,11,0.66,0.71,0.75,2.64,2.72,2.86,63.75,75.5,71.24
1,SUMATERA UTARA,13.15,13.23,13.27,10649,10420,10499,9.45,9.54,9.58,68.95,69.1,69.23,71.74,71.77,72.0,12,12,14,0.31,0.39,0.38,1.37,1.51,1.52,64.14,74.24,70.57
2,SUMATERA BARAT,14.01,14.02,14.09,10925,10733,10790,8.92,8.99,9.07,69.31,69.47,69.59,72.39,72.38,72.65,9,9,9,0.21,0.2,0.24,0.94,0.92,1.04,65.75,74.49,71.34
3,RIAU,13.14,13.2,13.28,11255,10675,10736,9.03,9.14,9.19,71.48,71.6,71.67,73.0,72.71,72.94,6,6,7,0.27,0.28,0.24,1.13,1.14,1.06,65.36,75.58,71.8
4,JAMBI,12.93,12.98,13.04,10592,10392,10588,8.45,8.55,8.6,71.06,71.16,71.22,71.26,71.29,71.63,17,17,19,0.3,0.25,0.3,1.23,1.1,1.29,73.15,76.7,75.17
5,SUMATERA SELATAN,12.39,12.45,12.54,10937,10652,10662,8.18,8.24,8.3,69.65,69.88,69.98,70.02,70.01,70.24,23,23,23,0.51,0.48,0.54,2.12,2.08,2.26,67.16,75.32,72.37
6,BENGKULU,13.59,13.61,13.67,10409,10380,10487,8.73,8.84,8.87,69.21,69.35,69.42,71.21,71.4,71.64,18,18,18,0.58,0.56,0.62,2.48,2.4,2.57,65.77,72.83,69.74
7,LAMPUNG,12.63,12.65,12.73,10114,9982,10038,7.92,8.05,8.08,70.51,70.65,70.73,69.57,69.69,69.9,24,24,24,0.44,0.41,0.42,1.93,1.9,1.88,65.53,74.98,71.64
8,KEP. BANGKA BELITUNG,11.94,12.05,12.17,12959,12794,12819,7.98,8.06,8.08,70.5,70.64,70.73,71.3,71.47,71.69,16,16,16,0.1,0.13,0.11,0.51,0.6,0.61,70.13,76.44,73.25
9,KEPULAUAN RIAU,12.83,12.87,12.98,14466,14209,14122,9.99,10.12,10.18,69.8,69.96,70.12,75.48,75.59,75.79,4,4,4,0.12,0.29,0.28,0.69,1.11,1.07,69.42,77.72,74.78
10,DKI JAKARTA,12.97,12.98,13.07,18527,18227,18520,11.06,11.13,11.17,72.79,72.91,73.01,80.76,80.77,81.11,1,1,1,0.11,0.11,0.14,0.5,0.59,0.64,62.37,75.25,70.68
11,JAWA BARAT,12.48,12.5,12.61,11152,10845,10934,8.37,8.55,8.61,72.85,73.04,73.23,72.03,72.09,72.45,10,10,10,0.24,0.23,0.38,1.09,1.13,1.47,63.21,74.17,70.23
12,JAWA TENGAH,12.68,12.7,12.77,11102,10930,11034,7.53,7.69,7.75,74.23,74.37,74.47,71.73,71.87,72.16,13,13,13,0.3,0.34,0.45,1.53,1.72,1.91,68.03,74.79,71.73
13,D I YOGYAKARTA,15.58,15.59,15.64,14394,14015,14111,9.38,9.55,9.64,74.92,74.99,75.04,79.99,79.97,80.22,2,2,2,0.38,0.46,0.65,1.74,1.94,2.42,67.29,74.51,71.7
14,JAWA TIMUR,13.16,13.19,13.36,11739,11601,11707,7.59,7.78,7.88,71.18,71.3,71.38,71.5,71.71,72.14,15,15,15,0.45,0.43,0.43,1.8,1.82,1.84,66.43,76.07,72.08
15,BANTEN,12.88,12.89,13.02,12267,11964,12033,8.74,8.89,8.93,69.84,69.96,70.02,72.44,72.45,72.72,8,8,8,0.18,0.23,0.26,0.76,1.0,1.09,60.61,72.61,68.08
16,BALI,13.27,13.33,13.4,14146,13929,13820,8.84,8.95,9.06,71.99,72.13,72.24,75.38,75.5,75.69,5,5,5,0.11,0.1,0.15,0.53,0.52,0.68,65.98,74.88,71.44
17,NUSA TENGGARA BARAT,13.48,13.7,13.9,10640,10351,10377,7.27,7.31,7.38,66.28,66.51,66.69,68.14,68.25,68.65,29,29,29,0.48,0.61,0.49,2.33,2.58,2.24,64.25,73.93,69.98
18,NUSA TENGGARA TIMUR,13.15,13.18,13.2,7769,7598,7554,7.55,7.63,7.69,66.85,67.01,67.15,65.23,65.19,65.28,32,32,32,1.13,1.05,1.05,4.15,4.02,3.96,63.14,74.61,70.31
19,KALIMANTAN BARAT,12.58,12.6,12.65,9055,8930,8974,7.31,7.37,7.45,70.56,70.69,70.76,67.65,67.66,67.9,30,30,30,0.26,0.23,0.23,1.14,1.01,1.03,67.34,75.6,72.49
