Id,Kabupaten/Kota,Harapan Lama Sekolah (2019),Harapan Lama Sekolah (2020),Harapan Lama Sekolah (2021),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang)(2019),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2020),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang) (2021),Rata-rata Lama Sekolah (2019),Rata-rata Lama Sekolah (2020),Rata-rata Lama Sekolah (2021),Umur Harapan Hidup Saat Lahir (UHH) (2019),Umur Harapan Hidup Saat Lahir (UHH) (2020),Umur Harapan Hidup Saat Lahir (UHH) (2021),Indeks Pembangunan Manusia (2019),Indeks Pembangunan Manusia (2020),Indeks Pembangunan Manusia (2021),Peringkat Indeks Pembangunan Manusia (2019),Peringkat Indeks Pembangunan Manusia (2020),Peringkat Indeks Pembangunan Manusia (2021),Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2019) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2020) ,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota (2021) ,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2019),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2020),Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota (2021)
1,Buton Tengah,12.7,13.0,13.12,7264,7221,7244,7.29,7.3,7.31,67.5,67.66,67.69,64.06,64.37,64.55,-,-,-,0.34,0.38,0.38,1.64,1.91,2.14
2,Kuantan Singingi,13.32,13.33,13.34,10820,10243,10309,8.58,8.59,8.75,68.44,68.55,68.6,70.78,70.31,70.6,-,-,-,0.32,0.32,0.23,1.28,1.44,1.14
3,Lombok Utara,12.71,12.72,12.76,9279,9006,9057,5.84,5.91,6.04,66.92,67.17,67.36,64.49,64.42,64.77,-,-,-,2.42,2.58,1.66,7.39,7.09,5.69
5,Buol,13.08,13.09,13.1,8151,7942,7974,8.75,8.86,9.08,68.17,68.76,69.05,67.69,67.82,68.25,-,-,-,0.78,0.47,0.51,2.89,1.97,2.01
8,Kota Tebing Tinggi,12.71,12.72,12.73,12895,12876,12939,10.28,10.31,10.44,70.76,70.87,70.95,75.08,75.17,75.42,-,-,-,0.31,0.56,0.28,1.47,1.74,1.37
9,Jeneponto,11.97,11.98,12.1,9078,9114,9215,6.48,6.59,6.6,66.24,66.39,66.49,64.0,64.26,64.56,-,-,-,0.41,0.68,0.29,2.02,2.6,1.64
10,Timor Tengah Utara,13.3,13.31,13.32,6479,6364,6324,7.51,7.81,7.96,66.86,66.96,67.09,63.34,63.53,63.69,-,-,-,1.09,0.9,0.93,4.05,3.75,3.77
11,Konawe Utara,12.54,12.83,13.08,9215,9165,9181,8.97,9.21,9.3,69.23,69.51,69.53,69.22,69.86,70.23,-,-,-,0.74,0.86,0.63,2.66,2.92,2.4
12,Kota Tidore Kepulauan,14.2,14.31,14.32,8608,8188,8316,9.64,9.73,9.95,69.22,69.34,69.43,70.83,70.53,70.99,-,-,-,0.06,0.11,0.17,0.4,0.6,0.82
13,Batang,12.0,12.01,12.13,9573,9431,9524,6.63,6.87,6.88,74.59,74.69,74.74,68.42,68.65,68.92,-,-,-,0.08,0.32,0.48,0.69,1.43,1.76
